Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Activity,Stage
192.168.3.30-192.168.3.31-42004-9200-6,192.168.3.30,42004,192.168.3.31,9200,6,18/07/2019 11:35:23 AM,117019943,11,12,9160,4027,2079,0,832.7272727,998.0093277,2017,0,335.5833333,555.1621317,112.6901933,0.196547694,5319088.318,11392996.45,34998142,10,117014027,11701402.7,14828721.66,34998142,4537,117019932,10638175.64,14503687.92,34998461,428,0,1,0,0,352,384,0.094001071,0.102546623,0,2079,633.5,853.7949046,728965.7391,0,0,0,1,1,0,0,0,1,661.0434783,832.7272727,335.5833333,0,0,0,0,0,0,11,9160,12,4027,-1,2053,5,0,5664.8,1071.419012,6717,4537,23397064.4,12360560.71,34998142,6999730,Normal,Benign
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,18/07/2019 11:34:58 AM,119999399,2,1,0,0,0,0,0,0,0,0,0,0,0,0.025000125,59999699.5,72.83199846,59999751,59999648,59999751,59999751,0,59999751,59999751,0,0,0,0,0,0,0,0,0,0,0,0.01666675,0.008333375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,59999699.5,72.83199846,59999751,59999648,Normal,Benign
192.168.3.1-192.168.3.30-59591-22-6,192.168.3.30,22,192.168.3.1,59591,6,18/07/2019 11:37:21 AM,119999887,440746,220410,25722312,4216,3768,40,58.36085183,43.91937349,56,0,0.019127989,0.87682513,214387.9352,5509.638522,181.5003849,125.7011494,12007,5,119999616,272.2654052,136.4092238,12222,51,119999797,544.4414566,196.679769,12702,5,0,1,0,0,14103872,7053120,3672.886792,1836.75173,0,3768,38.91145976,45.19464,2042.555485,0,0,0,1,1,0,0,0,0,38.91151861,58.36085183,0.019127989,0,0,0,0,0,0,440746,25722312,220410,4216,-1,1444,440746,0,0,0,0,0,0,0,0,0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 11:37:22 AM,119728501,34,1,1720,52,56,48,50.58823529,2.388325736,52,52,52,0,14.80015189,0.292328056,3521426.5,6388641.437,20008000,2,119728481,3628135.788,6456852.779,20008000,2,0,0,0,0,0,0,0,0,0,272,8,0.283975826,0.00835223,48,56,50.66666667,2.342160175,5.485714286,0,0,0,0,0,0,0,0,0,52.11428571,50.58823529,52,0,0,0,0,0,0,34,1720,1,52,-1,-1,34,0,745151.6667,1290596.379,2235404,19,12884408.67,5778442.152,20008000,6246920,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 11:37:22 AM,119780998,244,1,0,0,0,0,0,0,0,0,0,0,0,2.045399555,490905.7295,402076.7065,2216701,8,118784042,488823.2181,401585.7977,2216701,8,0,0,0,0,0,0,0,0,0,0,0,2.037050985,0.00834857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 11:37:25 AM,119312306,86,1,24938,289,296,289,289.9767442,2.439752852,289,289,289,0,211.4366979,0.729178766,1387352.395,1373654.966,5125960,30140,116308560,1368336,1370372.78,5125960,30140,0,0,0,0,0,0,0,0,0,688,8,0.7207974,0.008381365,289,296,289.9545455,2.415986464,5.836990596,0,0,0,0,0,0,0,0,0,293.2873563,289.9767442,289,0,0,0,0,0,0,86,24938,1,289,-1,-1,86,0,23922154,4429.905718,23927110,23917971,5118620.5,5128.520612,5125960,5114620,Normal,Benign
192.168.3.30-192.168.3.31-42004-9200-6,192.168.3.30,42004,192.168.3.31,9200,6,18/07/2019 11:37:45 AM,95013962,7,9,6085,3380,2037,0,869.2857143,1084.205964,2031,0,375.5555556,643.2868938,99.6169384,0.168396304,6334264.133,13260827.21,34995816,7,94880396,15813399.33,17682408.04,34995816,6654,95013938,11876742.25,16627638.2,34996201,359,0,1,0,0,224,288,0.073673383,0.094722921,0,2037,676.2352941,910.8204083,829593.8162,0,0,0,1,1,0,0,0,1,718.5,869.2857143,375.5555556,0,0,0,0,0,0,7,6085,9,3380,-1,2053,3,0,59670,65982.15468,133566,6654,31609375,5755866.694,34995816,24963477,Normal,Benign
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,18/07/2019 11:37:58 AM,119999562,2,1,0,0,0,0,0,0,0,0,0,0,0,0.025000091,59999781,970.1505038,60000467,59999095,59999095,59999095,0,59999095,59999095,0,0,0,0,0,0,0,0,0,0,0,0.016666728,0.008333364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,59999781,970.1505038,60000467,59999095,Normal,Benign
192.168.3.1-192.168.3.30-59591-22-6,192.168.3.30,22,192.168.3.1,59591,6,18/07/2019 11:39:21 AM,119999902,439566,219835,25737432,4176,3800,40,58.55191712,47.56906146,56,0,0.018996065,0.873819785,214513.5752,5495.012821,181.9834729,129.4950972,22690,3,119999582,272.9962167,142.4000921,24185,50,119999800,545.8655167,208.6473037,23555,3,0,1,0,0,14066112,7034720,3663.052991,1831.959829,0,3800,39.03789191,47.64548833,2270.092559,0,0,0,1,1,0,0,0,0,39.03795111,58.55191712,0.018996065,0,0,0,0,0,0,439566,25737432,219835,4176,-1,1444,439566,0,0,0,0,0,0,0,0,0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 11:39:22 AM,100040297,26,1,1320,48,52,48,50.76923077,1.882714897,48,48,48,0,13.67448959,0.269891242,3847703.731,6752409.989,20019450,2,100040275,4001611,6844946.968,20019450,2,0,0,0,0,0,0,0,0,0,208,8,0.25989527,0.009995972,48,52,50.57142857,1.951800146,3.80952381,0,0,0,0,0,0,0,0,0,52.44444444,50.76923077,48,0,0,0,0,0,0,26,1320,1,48,-1,-1,26,0,1801990.667,1736174.355,3463878,17,13519189.29,6260874.629,20019450,6836171,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 11:39:23 AM,119430043,250,1,0,0,0,0,0,0,0,0,0,0,0,2.101648745,477720.172,372177.9069,2216670,8,118430000,475622.49,371443.7037,2216670,8,0,0,0,0,0,0,0,0,0,0,0,2.093275643,0.008373103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 11:39:28 AM,119347868,87,1,25227,289,296,289,289.9655172,2.427786224,289,289,289,0,213.795189,0.73734036,1371814.575,1365144.092,5092193,12449,119199381,1386039.314,1366650.047,5092193,12449,0,0,0,0,0,0,0,0,0,696,8,0.728961493,0.008378868,289,296,289.9438202,2.40434999,5.780898876,0,0,0,0,0,0,0,0,0,293.2386364,289.9655172,289,0,0,0,0,0,0,87,25227,1,289,-1,-1,87,0,22449441.75,3003689.412,23952717,17943908,5091001,924.9198163,5092193,5089974,Normal,Benign
192.168.3.30-192.168.3.31-42004-9200-6,192.168.3.30,42004,192.168.3.31,9200,6,18/07/2019 11:39:45 AM,95034140,7,9,6078,3385,2031,0,868.2857143,1082.95194,2037,0,376.1111111,645.2242719,99.5747423,0.168360549,6335609.333,13245030.88,34993148,12,94794759,15799126.5,17665783.28,34993148,6550,95034128,11879266,16601513.85,34993556,334,0,1,0,0,224,288,0.07365774,0.094702809,0,2037,676.4705882,911.3094369,830484.8897,0,0,0,1,1,0,0,0,1,718.75,868.2857143,376.1111111,0,0,0,0,0,0,7,6078,9,3385,-1,2053,3,0,85104.66667,133614.7325,239381,6550,31585711,5705342.375,34993148,24999067,Normal,Benign
192.168.3.1-192.168.3.30-59591-22-6,192.168.3.30,22,192.168.3.1,59591,6,18/07/2019 11:41:21 AM,119999932,439588,219799,25790328,4176,3760,40,58.66931763,48.09966401,56,0,0.018999177,0.873891308,214954.3218,5494.89478,181.9873822,127.3358433,8373,5,119999657,272.9827247,138.4837624,9849,51,119999720,545.9545583,203.7188738,16390,5,0,1,0,0,14066816,7033568,3663.235409,1831.659371,0,3760,39.11894059,48.03169796,2307.044009,0,0,0,1,1,0,0,0,0,39.11899992,58.66931763,0.018999177,0,0,0,0,0,0,439588,25790328,219799,4176,-1,1444,439588,0,0,0,0,0,0,0,0,0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 11:41:23 AM,100030538,23,1,1176,52,56,48,51.13043478,2.39894575,52,52,52,0,12.27625108,0.239926731,4349153.826,7679958.633,20019462,2,80011076,3636867.091,7040287.163,20005824,2,0,0,0,0,0,0,0,0,0,184,8,0.229929784,0.009996947,48,56,51.2,2.309401077,5.333333333,0,0,0,0,0,0,0,0,0,53.33333333,51.13043478,52,0,0,0,0,0,0,23,1176,1,52,-1,-1,23,0,1877453,2655089.797,3754885,21,16045938.67,6030896.946,20019462,5005123,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 11:41:23 AM,119999984,242,1,0,0,0,0,0,0,0,0,0,0,0,2.02500027,495867.7025,427400.2547,2216553,78,118199982,490456.3568,419900.1977,2216553,78,0,0,0,0,0,0,0,0,0,0,0,2.016666936,0.008333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 11:41:30 AM,119395921,88,1,25527,289,300,289,290.0795455,2.640191524,289,289,289,0,216.221792,0.7454191,1356771.83,1360959.766,5111145,2398,119159870,1369653.678,1363442.748,5111145,2398,0,0,0,0,0,0,0,0,0,704,8,0.737043605,0.008375496,289,300,290.0555556,2.615258215,6.839575531,0,0,0,0,0,0,0,0,0,293.3146067,290.0795455,289,0,0,0,0,0,0,88,25527,1,289,-1,-1,88,0,20961204,5955302.15,23950762,12028260,5107390.5,4515.995313,5111145,5101957,Normal,Benign
192.168.3.30-192.168.3.31-42004-9200-6,192.168.3.30,42004,192.168.3.31,9200,6,18/07/2019 11:41:45 AM,95020122,7,9,6082,3366,2032,0,868.8571429,1083.663298,2017,0,374,638.7838054,99.43157093,0.168385387,6334674.8,13252244.49,34907640,12,94906011,15817668.5,17660264.32,34907640,8079,95020109,11877513.63,16613628.75,34907967,404,0,1,0,0,224,288,0.073668607,0.09471678,0,2032,674.4117647,907.9422517,824359.1324,0,0,0,1,1,0,0,0,1,716.5625,868.8571429,374,0,0,0,0,0,0,7,6082,9,3366,-1,2053,3,0,72371.33333,56499.23306,114111,8079,31597775.67,5716163.485,34907640,24997328,Normal,Benign
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,18/07/2019 11:40:58 AM,119999602,2,1,0,0,0,0,0,0,0,0,0,0,0,0.025000083,59999801,173.9482682,59999924,59999678,59999924,59999924,0,59999924,59999924,0,0,0,0,0,0,0,0,0,0,0,0.016666722,0.008333361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,59999801,173.9482682,59999924,59999678,Normal,Benign
192.168.3.1-192.168.3.30-59591-22-6,192.168.3.30,22,192.168.3.1,59591,6,18/07/2019 11:43:21 AM,119999869,439087,219574,25673536,4192,1888,40,58.47027127,44.62998756,72,0,0.019091514,0.879654834,213981.3003,5488.847659,182.1878799,128.3281236,17284,5,119999558,273.2939743,140.6961578,19875,51,119999515,546.5130731,203.8953656,18162,5,0,1,0,0,14050784,7026368,3659.062328,1829.785331,0,1888,38.98479038,45.6875473,2087.351979,0,0,0,1,1,0,0,0,0,38.98484957,58.47027127,0.019091514,0,0,0,0,0,0,439087,25673536,219574,4192,-1,1444,439087,0,0,0,0,0,0,0,0,0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 11:43:23 AM,119912629,34,1,1720,52,56,48,50.58823529,2.388325736,52,52,52,0,14.77742599,0.291879181,3526842.029,6302254.337,20018830,2,99906213,3027461,5675885.328,20018830,2,0,0,0,0,0,0,0,0,0,272,8,0.283539776,0.008339405,48,56,50.66666667,2.342160175,5.485714286,0,0,0,0,0,0,0,0,0,52.11428571,50.58823529,52,0,0,0,0,0,0,34,1720,1,52,-1,-1,34,0,861396,1193098.026,2223216,21,12837527.22,5510823.549,20018830,6168387,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 11:43:24 AM,119000064,238,1,0,0,0,0,0,0,0,0,0,0,0,2.008402281,500000.2689,426602.2531,2216248,1345,116784160,492760.1688,412591.8407,2216248,1345,0,0,0,0,0,0,0,0,0,0,0,1.999998924,0.008403357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 11:43:30 AM,119465312,89,1,25819,289,296,289,290.1011236,2.563045702,289,289,289,0,218.5404245,0.753356757,1342306.876,1341049.377,5122550,13426,119242909,1355033.057,1343318.695,5122550,13426,0,0,0,0,0,0,0,0,0,712,8,0.744986126,0.008370631,289,296,290.0769231,2.539600884,6.44957265,0,0,0,0,0,0,0,0,0,293.3,290.1011236,289,0,0,0,0,0,0,89,25819,1,289,-1,-1,89,0,19841220,8175304.338,23941992,7578272,5113745,9950.888034,5122550,5099598,Normal,Benign
192.168.3.30-192.168.3.31-42004-9200-6,192.168.3.30,42004,192.168.3.31,9200,6,18/07/2019 11:43:45 AM,95021464,7,9,6103,3379,2049,0,871.8571429,1087.43696,2033,0,375.4444444,643.9522714,99.78798053,0.168383009,6334764.267,13278134.44,34990792,12,94960029,15826671.5,17705127.19,34990792,7190,95021452,11877681.5,16654884.44,34991134,403,0,1,0,0,224,288,0.073667566,0.094715442,0,2049,677.3529412,912.9434499,833465.7426,0,0,0,1,1,0,0,0,1,719.6875,871.8571429,375.4444444,0,0,0,0,0,0,7,6103,9,3379,-1,2053,3,0,26728,30136.42193,61435,7190,31644113,5753646.679,34990792,25000436,Normal,Benign
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,18/07/2019 11:43:58 AM,119999607,2,1,0,0,0,0,0,0,0,0,0,0,0,0.025000082,59999803.5,13.43502884,59999813,59999794,59999813,59999813,0,59999813,59999813,0,0,0,0,0,0,0,0,0,0,0,0.016666721,0.008333361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,59999803.5,13.43502884,59999813,59999794,Normal,Benign
192.168.3.1-192.168.3.30-59591-22-6,192.168.3.30,22,192.168.3.1,59591,6,18/07/2019 11:45:21 AM,119999982,440480,220269,25777336,4160,2864,40,58.52101344,46.18313257,40,0,0.018885998,0.868957241,214845.8322,5506.242493,181.6123272,128.5181824,16297,7,119999711,272.4300387,140.1380922,16297,50,119999982,544.7908094,204.5129011,16692,7,0,0,0,0,14095360,7048608,3670.667217,1835.575275,0,2864,39.01853348,46.71935609,2182.698233,0,0,0,0,1,0,0,0,0,39.01859254,58.52101344,0.018885998,0,0,0,0,0,0,440480,25777336,220269,4160,-1,1444,440480,0,0,0,0,0,0,0,0,0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 11:45:23 AM,100030484,19,1,960,52,52,48,50.52631579,1.982378511,52,52,52,0,10.11691596,0.199939051,5264762.316,7419190.222,20000270,2,98200579,5455587.722,7586153.024,20000270,2,0,0,0,0,0,0,0,0,0,152,8,0.189942098,0.009996953,48,52,50.66666667,1.932183566,3.733333333,0,0,0,0,0,0,0,0,0,53.2,50.52631579,52,0,0,0,0,0,0,19,960,1,52,-1,-1,19,0,1348452.667,1183560.837,2215393,36,13712160.86,5671799.012,20000270,6919239,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 11:45:24 AM,118999900,247,1,0,0,0,0,0,0,0,0,0,0,0,2.084035365,481780.9717,381327.4855,2216292,2538,118000090,479675.1626,380663.0909,2216292,2538,0,0,0,0,0,0,0,0,0,0,0,2.075631996,0.008403368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 11:45:31 AM,119171648,87,1,25234,289,296,289,290.045977,2.510017354,289,289,289,0,214.1700684,0.738430671,1369789.057,1337455.168,5120564,3883,117745395,1369132.5,1345285.444,5120564,3883,0,0,0,0,0,0,0,0,0,696,8,0.730039413,0.008391258,289,296,290.0224719,2.486223533,6.181307457,0,0,0,0,0,0,0,0,0,293.3181818,290.045977,289,0,0,0,0,0,0,87,25234,1,289,-1,-1,87,0,18696200.25,10461794.98,23928603,3003508,5114679,4092.806942,5120564,5111655,Normal,Benign
192.168.3.30-192.168.3.31-42004-9200-6,192.168.3.30,42004,192.168.3.31,9200,6,18/07/2019 11:45:46 AM,95036723,7,9,6065,3376,2031,0,866.4285714,1080.636365,2031,0,375.1111111,643.3162994,99.3405465,0.168355973,6335781.533,13286738.91,34993999,11,95022375,15837062.5,17713161.78,34993999,6953,95036710,11879588.75,16667878.27,34994376,765,0,1,0,0,224,288,0.073655738,0.094700235,0,2031,674.8235294,909.0567388,826384.1544,0,0,0,1,1,0,0,0,1,717,866.4285714,375.1111111,0,0,0,0,0,0,7,6065,9,3376,-1,2053,3,0,9937.333333,3898.374832,14348,6953,31660091.33,5769350.577,34993999,24998220,Normal,Benign
